day_id,city_id,temperature_celsius,wind_kph,wind_degree,pressure_mb,precip_mm,humidity,cloud,feels_like_celsius,visibility_km,uv_index,gust_kph,air_quality_us-epa-index,condition_text
D0598,22,24.1,7.6,18,1016.0,0.0,80,12,26.0,10.0,1.0,9.7,1,0
D0613,23,16.0,3.6,250,1014.0,0.0,94,0,16.0,10.0,1.0,7.6,2,4
D0625,24,13.0,9.0,320,1007.0,0.1,94,100,12.5,10.0,3.0,9.7,1,1
D0626,24,13.0,11.2,280,1007.0,0.1,94,100,13.0,10.0,1.0,9.0,1,1
D0638,24,18.0,6.1,190,1018.0,0.0,73,0,18.0,10.0,1.0,4.7,3,0
D0639,24,21.0,6.8,150,1013.0,0.0,69,0,21.0,10.0,1.0,9.4,2,0
D0647,24,14.0,16.9,190,1015.0,0.0,77,0,13.4,10.0,1.0,21.9,1,0
D0648,24,16.0,9.0,150,1011.0,0.0,72,0,16.0,10.0,1.0,12.9,1,0
D0655,25,32.4,5.8,220,1005.0,0.0,57,8,37.4,10.0,1.0,11.5,2,0
D0663,25,30.1,10.4,55,1005.0,0.0,71,3,35.3,10.0,1.0,16.2,1,0
D0667,25,37.0,24.1,100,1001.0,0.0,45,25,50.0,8.0,8.0,21.2,3,4
D0671,25,33.0,13.0,210,1003.0,0.0,56,0,39.2,8.0,1.0,27.0,3,4
D0673,25,37.0,15.1,190,1004.0,0.0,42,50,50.8,7.0,1.0,37.4,3,4
D0677,26,28.2,19.8,86,1015.0,0.6,79,62,32.6,10.0,1.0,25.9,1,7
D0678,26,28.3,19.8,81,1016.0,1.0,79,80,32.8,10.0,1.0,25.9,1,7
D0681,26,27.0,4.0,240,1014.0,0.2,89,25,30.1,10.0,1.0,24.5,1,6
D0694,26,29.0,3.6,10,1012.0,0.1,84,25,33.4,10.0,6.0,19.4,1,6
D0726,27,28.1,6.8,80,1011.0,0.0,91,75,34.6,8.0,6.0,15.3,1,1
D0735,28,28.0,16.9,190,1012.0,0.3,79,50,34.3,10.0,5.0,15.1,1,8
D0736,28,27.0,13.0,180,1013.0,0.9,79,50,31.7,10.0,6.0,9.0,2,6
D0746,28,26.0,13.0,230,1012.0,0.3,84,75,27.5,10.0,6.0,2.2,1,3
D0747,28,27.0,19.1,190,1013.0,0.7,84,25,29.7,10.0,6.0,8.3,1,6
D0748,28,29.0,13.0,190,1012.0,0.2,75,25,32.7,10.0,6.0,1.1,1,6
D0750,28,29.0,16.9,170,1013.0,0.08,70,25,32.0,10.0,6.0,5.8,1,6
D0761,29,24.3,9.0,238,1014.0,1.4,87,61,26.6,10.0,1.0,12.6,1,7
D0762,29,24.0,11.2,257,1014.0,0.0,85,32,26.1,10.0,1.0,14.8,1,6
D0770,29,24.7,11.5,254,1014.0,0.0,89,68,27.2,10.0,1.0,14.0,1,1
D0779,29,25.0,6.8,340,1013.0,6.1,100,75,27.9,8.0,1.0,2.6,1,3
D0784,30,14.0,6.8,160,1005.0,0.0,100,60,13.9,0.2,1.0,11.2,1,4
D0789,30,14.0,13.0,320,1017.0,0.0,72,25,12.4,10.0,1.0,30.2,1,6
D0792,30,12.0,4.0,100,1021.0,0.0,100,60,11.4,0.6,1.0,15.5,1,4
D0795,30,16.0,6.8,170,1013.0,0.0,94,25,16.0,10.0,1.0,24.1,2,6
D0806,30,19.0,15.1,150,1006.0,0.0,78,0,19.0,10.0,1.0,45.3,1,0
D0808,31,14.0,15.1,250,1026.0,0.0,100,75,14.7,7.0,1.0,4.7,1,4
D0809,31,13.0,9.0,270,1027.0,0.1,100,75,13.6,10.0,1.0,5.0,5,5
D0814,31,15.0,11.2,210,1025.0,0.2,88,50,15.8,10.0,1.0,2.5,3,6
D0815,31,15.0,3.6,335,1025.0,0.1,88,75,15.5,10.0,1.0,9.4,2,6
D0825,31,14.0,3.6,167,1026.0,0.1,100,75,14.7,10.0,1.0,1.4,3,6
D0828,31,15.0,13.0,60,1026.0,0.0,100,75,15.5,10.0,1.0,9.6,4,8
D0844,32,13.0,3.6,10,1021.0,0.0,100,0,12.8,9.0,1.0,12.2,2,4
D0846,32,16.0,9.0,210,1015.0,0.0,100,75,16.0,0.9,1.0,17.6,2,4
D0847,32,14.0,6.1,140,1013.0,0.0,100,0,13.6,5.0,1.0,17.6,2,4
D0848,32,18.0,15.1,190,1010.0,0.0,94,75,18.0,9.0,1.0,23.8,2,7
D0856,32,16.0,16.9,190,1005.0,0.0,94,75,16.0,10.0,1.0,39.1,1,6
D0859,33,18.0,11.2,240,1014.0,0.0,64,25,18.0,10.0,6.0,7.9,1,6
D0861,33,14.0,3.6,10,1012.0,0.0,72,100,13.8,10.0,1.0,12.6,1,1
D0862,33,18.0,9.0,200,1013.0,1.9,94,75,18.0,10.0,1.0,17.3,1,6
D0866,33,21.0,6.1,50,1016.0,0.0,64,0,21.0,10.0,1.0,19.8,1,0
D0867,33,21.0,6.8,360,1017.0,0.0,78,0,21.0,10.0,1.0,8.3,4,0
D0868,33,21.0,3.6,54,1017.0,0.0,69,0,21.0,10.0,1.0,14.8,2,0
D0870,33,24.0,11.2,60,1016.0,0.0,61,0,25.0,10.0,1.0,10.8,2,0
D0874,33,18.0,4.0,220,1016.0,0.0,100,75,18.0,6.0,1.0,11.5,1,4
D0876,33,19.0,3.6,10,1018.0,0.0,68,0,19.0,10.0,1.0,11.9,2,0
D0878,33,19.0,9.0,50,1012.0,0.0,88,0,19.0,10.0,1.0,7.2,1,0
D0881,33,20.0,15.1,210,1013.0,0.0,73,75,20.0,10.0,1.0,22.6,1,6
D0883,33,15.0,24.1,190,1000.0,0.0,77,100,13.9,10.0,1.0,25.7,1,1
D0884,33,12.0,6.1,210,1011.0,0.0,82,75,10.7,10.0,1.0,19.8,1,6
D0894,34,26.0,11.2,220,1014.0,0.0,84,50,29.1,10.0,1.0,16.6,1,6
D0901,34,26.0,11.2,240,1009.0,0.0,84,75,27.9,9.0,7.0,12.2,1,6
D0906,34,27.0,15.1,230,1013.0,0.0,84,50,30.8,10.0,1.0,10.9,1,6
D0908,34,27.0,13.0,230,1012.0,0.0,89,50,30.9,10.0,1.0,14.1,1,6
D0916,35,21.0,3.6,10,1017.0,0.2,88,100,21.0,10.0,1.0,7.2,1,8
D0918,35,20.0,11.2,330,1015.0,0.0,83,75,20.0,10.0,1.0,4.7,2,6
D0922,35,18.0,3.6,340,1014.0,1.3,100,100,18.0,9.0,1.0,3.6,1,1
D0924,35,16.0,33.1,320,1016.0,0.0,63,0,16.0,10.0,1.0,16.2,1,0
D0932,35,15.0,11.2,120,1023.0,0.09,94,100,15.2,5.0,1.0,8.5,1,2
D0933,35,15.0,3.6,10,1025.0,0.02,82,25,15.3,10.0,1.0,6.2,1,6
D0935,35,19.0,13.0,50,1023.0,0.08,73,100,19.0,10.0,1.0,5.0,2,1
D0937,36,16.0,15.1,10,1009.0,0.3,82,75,16.0,10.0,3.0,14.4,1,2
D0942,36,15.0,4.0,250,1023.0,0.0,88,0,15.2,10.0,1.0,12.2,1,0
D0944,36,15.0,6.1,130,1026.0,0.0,88,0,15.0,10.0,1.0,14.0,2,0
D0948,36,18.0,6.1,110,1019.0,0.0,73,0,18.0,10.0,1.0,17.3,2,0
D0955,36,14.0,13.0,90,1020.0,0.0,82,0,13.1,10.0,1.0,23.4,1,0
D0958,36,18.0,19.1,190,1007.0,0.0,88,0,18.0,10.0,1.0,20.8,2,0
D0962,36,15.0,11.2,160,1006.0,0.0,88,0,14.7,10.0,1.0,15.4,1,0
D0970,37,25.0,16.9,220,1014.0,0.0,94,100,27.7,10.0,1.0,22.0,1,1
D0996,38,20.0,13.0,330,1006.0,0.2,73,75,20.0,10.0,1.0,15.5,1,6
D1014,38,23.0,3.6,10,1016.0,0.0,69,0,24.8,10.0,1.0,9.1,2,0
D1019,39,27.0,3.6,268,1014.0,0.8,89,75,30.5,10.0,1.0,22.0,1,3
D1022,39,25.0,15.1,290,1012.0,1.8,100,75,27.4,6.0,1.0,42.5,1,2
D1024,39,25.7,13.3,258,1015.0,0.2,79,55,28.0,10.0,1.0,22.3,1,7
D1028,39,27.0,15.1,170,1015.0,0.0,89,50,31.4,10.0,1.0,37.1,1,6
D1035,39,26.0,6.8,90,1011.0,3.78,94,75,28.8,10.0,1.0,27.2,1,6
D1039,39,27.2,18.7,308,1013.0,0.93,80,53,30.6,9.0,1.0,31.6,1,2
D1041,40,24.0,3.6,10,1013.0,1.8,100,75,26.3,5.0,1.0,20.9,1,4
D1052,40,29.0,11.2,30,1009.0,0.0,79,25,34.0,10.0,1.0,24.5,1,6
D1075,41,29.0,6.8,40,1018.0,0.4,52,37,34.5,10.0,5.0,7.2,1,6
D1092,41,31.0,24.1,60,1017.0,0.0,43,37,35.4,10.0,7.0,7.0,1,6
D1093,42,20.0,11.2,200,1005.0,0.1,88,75,20.0,10.0,5.0,7.2,1,7
D1109,42,21.0,24.1,360,1016.0,0.0,83,75,21.0,10.0,6.0,16.6,1,7
D1114,42,23.0,19.1,170,1012.0,0.0,61,75,24.7,10.0,1.0,17.4,1,6
D1119,43,34.0,6.8,250,1004.0,0.0,50,50,33.4,5.0,9.0,13.3,2,4
D1121,43,29.0,3.6,211,1007.0,0.0,70,25,30.4,3.5,1.0,11.5,3,4
D1122,43,29.0,6.8,270,1006.0,0.0,79,0,30.3,3.2,1.0,13.0,2,4
D1124,43,28.0,6.8,250,1004.0,0.0,84,0,27.2,3.5,1.0,18.4,1,4
D1125,43,28.0,6.1,260,1003.0,0.0,79,0,27.8,3.5,1.0,14.4,1,4
D1127,43,29.0,3.6,10,1005.0,0.0,75,75,31.3,3.0,1.0,9.0,4,4
D1128,43,28.0,3.6,10,1006.0,0.0,74,75,29.1,3.2,1.0,3.2,6,4
D1129,43,27.0,9.0,90,1005.0,0.0,79,75,28.4,2.5,1.0,11.5,4,4
D1131,43,24.0,11.2,40,1002.0,0.1,100,100,26.0,2.1,1.0,10.4,2,8
D1132,43,25.0,9.0,50,1002.0,0.0,94,75,27.8,2.5,1.0,12.6,3,4
D1136,43,30.0,6.1,190,1004.0,0.0,84,50,34.6,3.0,1.0,13.0,3,4
D1137,43,28.0,6.8,40,1005.0,0.0,94,50,31.6,3.0,1.0,14.4,5,4
D1138,43,26.0,11.2,60,1004.0,0.0,100,50,28.2,2.5,1.0,16.9,4,4
D1143,43,28.0,6.1,260,1006.0,0.0,84,50,30.2,3.0,1.0,3.1,5,4
D1153,44,24.0,6.8,190,1011.0,0.0,89,25,25.6,4.0,7.0,5.4,6,4
D1155,44,26.0,3.6,114,1011.0,0.0,100,25,27.7,10.0,7.0,9.7,6,4
D1156,44,26.0,4.0,250,1011.0,0.1,94,25,28.0,4.5,1.0,9.7,6,4
D1157,44,24.0,11.2,200,1012.0,0.0,94,25,25.7,5.0,1.0,7.6,6,4
D1169,44,25.0,9.0,200,1011.0,0.0,94,25,26.5,5.0,1.0,7.2,6,4
D1178,45,29.0,3.6,10,1016.0,0.0,18,25,26.9,10.0,1.0,5.8,2,6
D1184,45,21.0,19.1,300,1011.0,0.0,49,0,21.0,6.0,1.0,11.9,1,0
D1193,45,20.0,6.8,320,1020.0,0.0,46,0,20.0,10.0,1.0,6.6,3,0
D1200,46,15.0,3.6,85,1006.0,0.0,94,75,15.4,10.0,1.0,8.6,1,2
D1203,46,10.0,3.6,222,1025.0,0.0,100,25,10.0,10.0,1.0,9.0,1,6
D1211,46,13.0,22.0,30,1014.0,0.0,100,75,11.8,5.0,1.0,17.6,1,2
D1217,46,14.0,4.0,330,1002.0,2.44,100,75,13.6,2.0,1.0,12.4,1,2
D1218,46,11.0,19.1,240,1002.0,0.0,82,75,8.4,10.0,1.0,33.7,1,2
D1223,47,21.0,3.6,238,1002.0,0.9,88,50,21.0,4.0,5.0,38.9,1,5
D1225,47,20.0,9.0,150,1011.0,0.0,73,25,20.0,10.0,1.0,10.1,1,6
D1237,47,22.0,6.1,170,1016.0,0.0,61,0,24.4,10.0,1.0,13.7,2,0
D1242,47,23.0,13.0,80,1019.0,0.0,69,0,25.0,10.0,1.0,7.9,2,0
D1243,47,23.0,6.1,160,1019.0,0.0,57,0,24.9,10.0,1.0,8.3,2,0
D1257,48,29.0,19.1,230,1007.0,0.0,75,75,32.7,10.0,7.0,7.6,4,2
D1260,48,24.0,13.0,10,1009.0,0.2,94,75,26.2,10.0,5.0,11.9,1,7
D1267,48,27.0,6.8,70,1015.0,0.0,94,75,30.2,10.0,6.0,13.3,1,6
D1273,48,26.0,15.1,200,1009.0,0.08,89,75,28.5,10.0,6.0,12.6,1,1
D1274,48,22.0,20.2,360,1014.0,2.5,94,75,24.5,5.0,5.0,17.4,1,7
D1282,49,17.0,4.0,40,1021.0,0.0,83,75,17.0,10.0,1.0,11.2,2,6
D1284,49,17.6,3.6,306,1016.0,0.3,78,70,17.6,9.0,1.0,4.0,3,2
D1288,49,18.0,11.2,50,1023.0,0.0,73,75,18.0,10.0,1.0,14.8,1,6
D1298,49,19.0,15.1,60,1024.0,0.0,73,75,19.0,10.0,1.0,13.8,2,6
D1304,50,28.9,20.5,107,1011.0,0.1,76,69,33.6,10.0,6.0,27.7,1,2
D1306,50,29.0,18.4,82,1011.0,0.1,75,88,33.6,10.0,6.0,24.5,1,2
D1307,50,28.6,24.5,82,1011.0,0.2,78,69,33.4,10.0,6.0,33.1,1,7
D1308,50,28.8,27.4,118,1011.0,0.1,76,79,33.4,10.0,6.0,37.4,1,2
D1309,50,29.5,26.6,95,1011.0,0.0,74,30,34.8,10.0,7.0,36.0,1,6
D1310,50,28.9,31.7,79,1011.0,0.2,76,75,33.7,10.0,6.0,42.5,1,7
D1311,50,29.0,22.7,84,1010.0,0.1,74,51,33.5,10.0,6.0,30.6,1,2
D1313,50,28.6,14.8,103,1010.0,0.2,71,78,32.3,9.0,6.0,19.8,1,2
D1317,50,28.4,3.6,16,1009.0,0.0,69,23,31.4,10.0,1.0,5.0,1,0
D1319,50,28.9,11.2,80,1011.0,0.2,73,83,32.9,10.0,6.0,15.5,1,2
D1322,50,29.2,18.7,69,1009.0,0.03,73,80,33.8,10.0,6.0,25.5,1,2
D1326,50,28.5,5.4,4,1009.0,0.01,72,87,32.2,10.0,6.0,7.3,1,2
D1327,51,16.0,9.0,130,1012.0,0.0,94,0,16.0,10.0,5.0,3.2,1,2
D1332,51,13.0,6.8,210,1017.0,0.0,94,0,12.0,10.0,1.0,24.1,1,0
D1339,51,13.0,3.6,10,1021.0,0.0,100,0,12.4,10.0,1.0,18.7,1,4
D1341,51,16.0,6.1,170,1013.0,0.0,94,0,16.0,10.0,1.0,13.0,1,0
D1342,51,16.0,4.0,200,1012.0,0.0,94,0,16.0,10.0,1.0,16.6,1,4
D1345,51,5.0,4.0,220,1027.0,0.0,100,0,3.7,10.0,1.0,13.0,2,4
D1353,52,12.0,6.8,90,1012.0,0.2,100,75,12.5,10.0,2.0,0.7,1,2
D1354,52,12.0,3.6,213,1011.0,0.0,100,100,12.5,10.0,1.0,3.2,1,1
D1355,52,16.0,3.6,193,1012.0,0.5,68,75,16.0,10.0,1.0,15.1,1,6
D1366,52,18.0,6.1,120,1018.0,0.1,94,0,18.0,10.0,1.0,15.8,2,0
D1367,52,17.0,3.6,173,1014.0,0.0,88,0,17.0,10.0,1.0,18.7,2,0
D1368,52,20.0,3.6,187,1016.0,0.0,73,100,20.0,10.0,1.0,15.1,1,1
D1369,52,21.0,9.0,250,1020.0,0.0,78,75,21.0,10.0,4.0,8.6,1,6
D1372,52,17.0,4.0,110,1016.0,0.0,100,0,17.0,10.0,1.0,20.5,1,0
D1381,53,19.0,16.9,170,1003.0,0.0,94,100,19.0,10.0,1.0,27.4,1,1
D1385,53,11.0,3.6,328,1023.0,0.0,94,50,10.5,10.0,1.0,13.7,1,4
D1395,53,16.0,24.1,350,1016.0,0.0,77,75,16.0,10.0,4.0,27.4,1,6
D1397,53,11.0,3.6,320,1027.0,0.0,71,0,10.3,10.0,1.0,15.8,1,0
D1408,54,13.0,9.0,170,1013.0,1.8,100,75,12.4,3.0,1.0,14.0,1,2
D1428,54,17.0,13.0,180,1006.0,0.0,72,0,17.0,10.0,1.0,23.4,1,0
D1432,56,14.0,20.2,160,1026.0,0.0,77,75,12.7,10.0,1.0,23.4,1,6
D1438,56,14.0,19.1,120,1023.0,0.0,82,75,13.8,10.0,1.0,13.7,1,6
D1443,56,14.0,11.2,130,1024.0,0.0,94,25,13.3,10.0,1.0,14.4,1,6
D1450,56,12.0,3.6,10,1022.0,0.0,94,25,12.5,10.0,1.0,6.5,1,6
D1464,57,25.0,6.8,150,1014.0,0.4,89,25,27.9,10.0,1.0,15.5,2,6
D1465,57,23.0,11.2,130,1017.0,0.0,100,50,25.2,4.0,1.0,14.8,1,8
D1466,57,23.0,6.8,340,1017.0,1.9,100,25,25.3,10.0,1.0,18.4,3,8
D1472,57,28.0,6.8,310,1013.0,3.6,89,0,32.0,10.0,1.0,13.3,1,0
D1475,57,25.0,6.8,90,1014.0,0.0,100,25,27.8,10.0,1.0,12.6,2,8
D1482,57,23.0,3.6,240,1015.0,0.0,100,25,25.2,10.0,1.0,12.6,1,6
D1488,58,23.0,6.8,90,1019.0,0.0,83,0,25.0,10.0,1.0,19.8,1,0
D1491,58,24.0,33.1,20,1009.0,1.5,57,37,25.7,10.0,1.0,57.6,1,5
D1499,58,28.0,16.9,240,1017.0,0.0,66,25,30.1,10.0,7.0,20.2,1,6
D1509,59,29.0,11.2,70,1008.0,0.0,75,100,33.8,24.0,1.0,19.4,1,1
D1512,59,27.0,11.2,220,1012.0,0.5,89,100,29.7,16.0,6.0,19.4,1,2
D1514,59,27.7,6.5,222,1012.0,0.4,74,77,30.9,10.0,6.0,9.7,1,7
D1516,59,31.0,19.1,100,1011.0,0.1,75,50,39.1,32.0,6.0,29.5,1,6
D1521,59,31.0,6.8,120,1010.0,0.1,75,50,38.1,32.0,6.0,21.6,1,6
D1522,59,31.0,6.8,50,1010.0,0.6,75,100,39.3,24.0,6.0,30.6,1,1
D1525,59,28.0,6.1,100,1010.0,0.0,84,100,31.7,24.0,1.0,11.9,1,1
D1530,59,30.0,13.0,340,1011.0,1.57,75,100,38.1,24.0,6.0,27.0,1,1
D1531,59,30.0,6.8,70,1009.0,1.13,79,100,36.7,24.0,6.0,24.6,1,1
D1534,59,28.0,22.0,70,1009.0,0.79,84,100,32.5,23.0,6.0,37.9,1,1
D1537,60,21.0,15.1,160,1020.0,0.0,69,25,21.0,10.0,1.0,26.3,1,6
D1547,60,23.0,11.2,110,1021.0,0.0,73,75,25.1,10.0,1.0,22.3,1,6
D1548,60,22.0,16.9,120,1021.0,0.0,88,50,24.5,8.0,1.0,29.9,1,1
