day_id,city_id,temperature_celsius,wind_kph,wind_degree,pressure_mb,precip_mm,humidity,cloud,feels_like_celsius,visibility_km,uv_index,gust_kph,air_quality_us-epa-index
D0056,2,21.0,3.6,177,1015.0,0.0,94,25,21.0,10.0,1.0,14.8,1
D0057,2,21.0,3.6,197,1014.0,0.0,94,75,21.0,8.0,1.0,14.4,1
D0058,2,22.0,11.2,220,1013.0,0.0,88,75,24.5,10.0,1.0,15.8,1
D0059,2,21.0,6.8,210,1015.0,0.0,94,75,21.0,8.0,1.0,14.8,1
D0060,2,21.0,9.0,220,1015.0,0.0,94,75,21.0,8.0,1.0,21.2,1
D0061,2,23.0,9.0,230,1014.0,0.0,83,75,25.4,9.0,1.0,9.0,1
D0062,2,22.0,6.8,220,1015.0,0.0,83,0,24.5,10.0,1.0,18.0,1
D0063,2,23.0,15.1,210,1014.0,0.0,83,25,25.2,10.0,1.0,24.1,1
D0064,2,22.0,19.1,190,1014.0,0.0,88,50,24.5,9.0,1.0,16.2,1
D0065,2,23.0,6.8,200,1015.0,0.0,83,75,25.3,9.0,1.0,16.9,1
D0066,2,23.0,6.8,200,1016.0,0.0,73,0,25.2,10.0,1.0,21.6,1
D0067,2,22.0,15.1,190,1013.0,0.0,83,25,24.5,10.0,1.0,19.1,1
D0068,2,22.0,11.2,200,1012.0,0.0,83,0,24.5,8.0,1.0,21.6,1
D0069,2,26.0,24.1,270,1008.0,0.0,65,25,28.2,10.0,6.0,31.0,1
D0070,2,23.0,16.9,170,1013.0,0.0,83,50,25.2,9.0,1.0,22.3,1
D0071,2,23.0,11.2,210,1014.0,0.0,83,75,25.2,10.0,1.0,22.7,1
D0072,2,22.0,6.8,240,1013.0,0.0,88,25,24.5,10.0,1.0,18.4,1
D0073,2,23.0,3.6,261,1013.0,0.0,83,0,25.3,8.0,1.0,17.1,1
D0074,2,23.0,3.6,236,1013.0,0.0,89,0,25.2,9.0,1.0,16.4,1
D0075,2,23.0,13.0,190,1014.0,0.0,83,25,25.2,8.0,1.0,18.9,1
D0076,2,23.0,11.2,180,1013.0,0.0,83,0,25.1,10.0,1.0,14.3,1
D0077,2,23.0,6.8,180,1013.0,0.0,83,25,25.2,10.0,1.0,18.6,1
D0078,2,23.0,11.2,190,1013.0,0.0,83,75,25.2,10.0,1.0,27.9,1
D0080,3,29.0,16.9,90,1017.0,0.0,75,50,33.7,10.0,1.0,36.7,1
D0082,3,29.0,13.0,80,1014.0,0.0,75,25,33.9,10.0,1.0,31.0,1
D0083,3,29.0,11.2,90,1014.0,0.0,75,50,33.7,10.0,1.0,27.0,1
D0084,3,29.0,6.8,140,1013.0,0.0,75,25,33.4,10.0,1.0,29.9,1
D0085,3,28.0,6.8,140,1013.0,0.0,74,25,31.2,10.0,1.0,31.0,1
D0086,3,29.0,11.2,100,1015.0,0.0,66,25,32.6,10.0,1.0,30.6,1
D0088,3,26.0,6.8,70,1014.0,0.1,94,50,28.0,10.0,1.0,27.0,1
D0089,3,29.0,16.9,50,1012.0,0.0,70,25,33.4,10.0,1.0,30.2,1
D0090,3,29.0,13.0,40,1011.0,0.2,79,50,33.8,10.0,6.0,29.5,1
D0091,3,30.0,15.1,250,1011.0,0.1,75,50,34.7,10.0,6.0,11.5,1
D0092,3,28.0,6.8,220,1011.0,0.0,84,25,31.1,10.0,7.0,29.5,1
D0093,3,30.0,6.8,230,1011.0,0.0,70,25,35.5,10.0,1.0,21.6,1
D0094,3,29.0,6.8,150,1010.0,0.0,70,25,33.0,10.0,7.0,29.2,1
D0095,3,32.0,13.0,170,1013.0,0.0,59,25,40.2,10.0,7.0,24.1,1
D0096,3,29.0,6.8,110,1012.0,0.0,75,25,33.0,10.0,7.0,20.9,1
D0097,3,29.0,11.2,50,1012.0,0.0,70,25,33.5,10.0,1.0,23.0,1
D0098,3,29.0,11.2,80,1012.0,0.0,75,25,33.3,10.0,6.0,25.9,1
D0100,3,29.0,6.1,80,1012.0,0.06,75,25,33.3,10.0,6.0,15.4,1
D0101,3,30.0,11.2,90,1012.0,0.0,70,50,35.3,10.0,7.0,23.9,1
D0102,3,29.0,16.9,90,1012.0,0.01,79,50,33.7,10.0,6.0,31.4,1
D0104,3,30.0,15.1,90,1010.0,0.02,70,75,36.0,10.0,6.0,28.8,1
D0105,4,9.0,11.2,70,1023.0,0.0,71,0,8.0,10.0,1.0,13.7,1
D0107,4,16.0,3.6,40,1012.0,0.0,51,0,16.0,10.0,1.0,6.8,1
D0108,4,12.0,13.0,80,1016.0,0.0,62,0,11.0,10.0,1.0,19.1,1
D0109,4,17.0,3.6,113,1007.0,0.0,72,0,17.0,10.0,1.0,18.7,2
D0110,4,11.0,19.1,170,1014.0,0.1,76,0,8.9,10.0,1.0,23.8,1
D0112,4,10.0,9.0,170,1022.0,0.0,58,0,9.6,10.0,1.0,9.7,1
D0113,4,10.0,16.9,110,1028.0,0.0,62,0,7.9,10.0,1.0,23.0,1
D0115,4,14.0,16.9,240,1009.0,0.0,94,75,12.9,10.0,1.0,21.6,1
D0116,4,16.0,9.0,240,1016.0,0.0,59,0,16.0,10.0,1.0,14.4,1
D0117,4,17.0,15.1,40,1015.0,0.0,52,0,17.0,10.0,1.0,14.8,1
D0118,4,19.0,15.1,40,1009.0,0.0,68,0,19.0,10.0,1.0,18.4,1
D0119,4,16.0,31.0,230,1007.0,0.0,72,0,16.0,10.0,1.0,34.6,1
D0120,4,15.0,11.2,210,1019.0,0.0,41,0,15.8,10.0,1.0,6.5,1
D0121,4,15.0,11.2,340,1020.0,0.0,51,0,14.4,10.0,3.0,13.7,1
D0122,4,16.0,16.9,30,1016.0,0.0,48,0,16.0,10.0,1.0,16.2,1
D0123,4,23.0,20.2,360,1004.0,0.0,44,0,24.5,10.0,1.0,34.9,1
D0124,4,22.0,19.1,180,1004.0,0.0,46,0,24.5,10.0,1.0,23.8,2
D0126,4,14.0,19.1,120,1020.0,0.0,63,0,12.9,10.0,1.0,22.3,1
D0129,4,19.0,9.0,200,1009.0,0.01,83,75,19.0,9.0,1.0,9.7,1
D0130,4,13.0,25.9,130,1016.0,0.0,82,25,11.2,10.0,1.0,25.7,1
D0131,5,31.0,9.0,170,1003.0,0.0,26,25,29.0,10.0,8.0,8.3,1
D0132,5,18.0,6.1,50,1011.0,0.0,60,0,18.0,10.0,5.0,12.6,1
D0133,5,21.0,9.0,50,1015.0,0.0,46,0,21.0,10.0,1.0,17.3,1
D0135,5,25.0,6.1,130,1014.0,0.0,36,0,25.7,10.0,1.0,21.2,1
D0136,5,26.0,24.1,50,1012.0,0.0,39,0,26.6,10.0,1.0,23.4,1
D0137,5,25.0,11.2,60,1010.0,0.0,47,0,26.4,10.0,1.0,17.6,1
D0138,5,23.0,9.0,90,1013.0,0.0,31,0,23.9,10.0,1.0,14.4,1
D0139,5,24.0,6.1,80,1014.0,0.0,34,0,24.0,10.0,1.0,16.6,2
D0140,5,22.0,3.6,10,1012.0,0.0,46,0,24.3,10.0,1.0,20.5,1
D0142,5,21.0,3.6,14,1011.0,0.0,69,25,21.0,10.0,1.0,15.5,1
D0143,5,17.0,6.1,120,1010.0,0.0,77,37,17.0,10.0,1.0,3.6,1
D0144,5,13.0,9.0,250,1013.0,0.0,51,0,12.3,10.0,1.0,19.4,1
D0145,5,16.0,3.6,25,1013.0,0.0,72,0,16.0,10.0,1.0,13.7,1
D0147,5,25.0,6.1,140,1015.0,0.0,30,25,24.6,10.0,6.0,5.0,1
D0149,5,20.0,9.0,60,1017.0,0.0,40,0,20.0,10.0,1.0,24.8,1
D0150,5,19.0,3.6,22,1015.0,0.1,43,0,19.0,10.0,1.0,20.9,1
D0151,5,19.0,9.0,20,1014.0,0.64,43,0,19.0,10.0,1.0,17.9,1
D0152,5,18.0,25.9,360,1018.0,0.0,39,0,18.0,10.0,1.0,20.0,1
D0153,5,17.0,3.6,30,1020.0,0.0,48,0,17.0,10.0,1.0,14.9,1
D0154,5,15.0,4.0,40,1019.0,0.07,67,25,14.9,10.0,1.0,12.6,1
D0155,5,20.0,11.2,40,1019.0,0.0,40,0,20.0,10.0,1.0,21.3,1
D0156,5,20.0,9.0,40,1020.0,0.0,46,0,20.0,10.0,1.0,22.1,1
D0157,6,13.0,15.1,10,1017.0,0.0,62,0,12.7,10.0,1.0,15.1,1
D0158,6,16.0,15.1,280,1013.0,0.0,55,75,16.0,10.0,5.0,23.0,1
D0159,6,8.0,6.8,360,1018.0,0.0,100,75,8.0,10.0,3.0,2.2,1
D0160,6,11.0,24.1,180,1021.0,0.0,50,0,9.5,10.0,3.0,13.7,1
D0161,6,7.0,9.0,150,1024.0,0.0,66,0,6.5,10.0,3.0,5.4,1
D0162,6,9.0,9.0,230,1022.0,0.0,76,0,9.1,10.0,4.0,2.2,1
D0163,6,9.0,9.0,210,1016.0,0.0,87,100,9.1,10.0,4.0,2.9,1
D0164,6,14.0,31.0,270,1012.0,0.0,28,0,12.3,10.0,4.0,25.2,1
D0165,6,7.0,3.6,340,1023.0,0.0,76,0,6.0,10.0,3.0,7.2,1
D0166,6,9.0,6.8,160,1019.0,0.0,71,0,9.1,10.0,4.0,4.0,1
D0167,6,10.0,34.9,320,1015.0,0.2,62,50,6.5,10.0,2.0,35.6,1
D0168,6,6.0,19.1,300,1025.0,0.0,61,0,3.3,10.0,2.0,14.8,1
D0169,6,3.0,6.1,330,1030.0,0.0,87,0,2.5,10.0,2.0,2.9,1
D0170,6,8.0,9.0,140,1032.0,0.0,76,0,7.4,10.0,3.0,6.1,1
D0171,6,6.0,6.1,120,1031.0,0.0,100,75,5.8,10.0,4.0,2.9,1
D0172,6,8.0,4.0,130,1030.0,0.0,87,0,8.0,10.0,3.0,3.2,1
D0173,6,8.0,3.6,10,1027.0,0.0,87,0,8.0,10.0,1.0,2.2,1
D0175,6,14.0,9.0,200,1023.0,0.0,67,0,13.6,10.0,4.0,12.2,1
D0176,6,18.0,24.1,350,1023.0,0.0,49,0,18.0,10.0,4.0,6.1,1
D0177,6,10.0,3.6,10,1022.0,0.0,76,0,9.7,10.0,4.0,6.9,1
D0178,6,14.0,3.6,10,1019.0,0.0,72,0,13.5,10.0,5.0,12.2,1
D0179,6,17.0,31.0,350,1010.0,0.0,42,0,17.0,10.0,5.0,30.2,1
D0180,6,12.0,9.0,300,1016.0,0.0,44,0,11.0,10.0,4.0,12.0,1
D0181,6,8.0,9.0,130,1030.0,0.0,71,0,6.9,10.0,3.0,8.3,1
D0182,6,6.0,9.0,150,1031.0,0.0,81,0,5.8,10.0,3.0,2.9,1
D0183,7,16.0,19.1,320,1005.0,0.0,82,75,16.0,10.0,4.0,25.9,1
D0184,7,15.0,15.1,300,1007.0,0.0,82,25,14.0,10.0,1.0,21.6,1
D0185,7,17.0,13.0,310,1010.0,0.0,63,0,17.0,10.0,1.0,16.2,1
D0187,7,18.0,6.8,250,1018.0,0.0,77,0,18.0,10.0,1.0,8.3,1
D0188,7,17.0,6.1,220,1021.0,0.0,83,0,17.0,10.0,1.0,9.4,2
D0189,7,17.0,13.0,320,1026.0,0.0,77,25,17.0,10.0,1.0,18.7,1
D0190,7,13.0,6.1,320,1026.0,0.0,77,0,13.5,10.0,1.0,7.2,1
D0191,7,13.0,9.0,190,1024.0,0.0,77,0,13.2,10.0,1.0,10.4,1
D0192,7,15.0,3.6,119,1023.0,0.0,82,0,15.5,10.0,1.0,9.7,1
D0193,7,15.0,3.6,118,1023.0,0.0,77,0,15.3,10.0,1.0,11.2,1
D0194,7,18.0,11.2,180,1020.0,0.0,68,0,18.0,10.0,1.0,9.7,1
D0195,7,19.0,6.8,160,1019.0,0.0,64,0,19.0,10.0,1.0,4.7,1
D0196,7,17.0,9.0,170,1017.0,0.0,77,0,17.0,10.0,1.0,2.2,1
D0197,7,19.0,3.6,293,1014.0,0.0,78,0,19.0,10.0,1.0,5.4,2
D0198,7,20.0,9.0,160,1013.0,0.0,73,0,20.0,10.0,1.0,2.9,2
D0199,7,23.0,16.9,340,1019.0,0.0,57,25,24.8,10.0,6.0,15.5,1
D0200,7,16.0,6.8,330,1021.0,0.0,88,25,16.0,10.0,1.0,10.1,1
D0201,7,16.0,9.0,150,1019.0,0.0,77,0,16.0,10.0,1.0,17.3,2
D0202,7,19.0,20.2,150,1017.0,0.0,73,0,19.0,10.0,1.0,11.9,1
D0203,7,19.0,3.6,137,1017.0,0.0,78,0,19.0,10.0,1.0,14.1,2
D0204,7,22.0,25.9,280,1010.0,0.0,61,0,24.5,10.0,1.0,33.5,1
D0206,7,20.0,20.2,160,1012.0,0.0,78,0,20.0,10.0,1.0,23.0,1
D0207,7,22.0,31.0,140,1002.0,0.0,65,25,24.6,10.0,1.0,23.3,1
D0208,7,18.0,25.9,310,1008.0,0.0,68,25,18.0,10.0,1.0,21.5,1
D0209,8,38.0,13.0,60,1000.0,0.0,54,0,47.8,10.0,9.0,16.2,4
D0211,8,34.0,13.0,340,1003.0,0.0,71,0,45.3,10.0,1.0,19.4,3
D0212,8,34.0,20.2,310,1004.0,0.0,60,0,41.7,10.0,1.0,43.2,2
D0214,8,33.0,9.0,140,1002.0,0.0,71,0,41.7,10.0,1.0,13.3,2
D0215,8,33.0,6.8,110,1001.0,0.0,71,0,42.1,8.0,1.0,5.4,2
D0216,8,33.0,4.0,320,1001.0,0.0,71,0,41.5,10.0,1.0,11.9,4
D0217,8,34.0,6.1,180,1002.0,0.0,63,0,44.2,9.0,1.0,7.6,4
D0219,8,35.0,13.0,130,1000.0,0.0,71,0,51.1,7.0,1.0,23.0,3
D0220,8,34.0,6.1,200,1002.0,0.0,75,0,45.6,10.0,1.0,6.8,3
D0221,8,36.0,11.2,270,1000.0,0.0,47,0,46.1,10.0,1.0,43.9,3
D0222,8,34.0,6.1,110,999.0,0.0,67,0,40.4,10.0,1.0,15.5,3
D0223,8,33.0,6.1,100,1000.0,0.0,75,0,44.3,7.0,1.0,10.4,4
D0224,8,33.0,6.1,280,1001.0,0.0,71,0,42.3,8.0,1.0,15.5,4
D0225,8,38.0,16.9,350,1000.0,0.0,48,0,61.9,10.0,8.0,25.6,3
D0226,8,35.0,19.1,310,1001.0,0.0,63,0,49.0,10.0,1.0,33.1,3
D0227,8,35.0,28.1,320,1002.0,0.0,56,0,45.5,9.0,1.0,45.7,2
D0228,8,35.0,16.9,290,1002.0,0.0,44,0,46.0,10.0,1.0,35.3,3
D0229,8,34.0,6.8,280,1000.0,0.0,56,0,40.3,10.0,1.0,34.8,3
D0230,8,33.0,9.0,290,1001.0,0.0,59,0,37.7,10.0,1.0,13.1,3
D0231,8,31.0,11.2,340,1004.0,0.0,71,0,35.9,10.0,1.0,21.6,2
D0233,8,32.0,9.0,300,1004.0,0.0,67,0,36.1,10.0,1.0,28.8,2
D0234,8,31.0,6.1,280,1003.0,0.0,84,0,35.9,10.0,1.0,12.8,3
D0236,9,30.6,3.6,47,1005.0,0.0,61,10,34.4,10.0,8.0,4.7,5
D0237,9,29.6,4.0,173,1004.0,0.0,70,28,34.0,10.0,1.0,6.5,4
D0239,9,28.6,7.2,159,1004.0,0.0,80,29,33.7,10.0,1.0,11.2,4
D0240,9,28.8,6.8,242,1001.0,0.2,80,72,34.0,9.0,1.0,11.5,3
D0247,9,26.9,9.4,215,1003.0,0.0,85,35,30.7,10.0,1.0,15.1,2
D0248,9,26.6,11.2,178,1001.0,1.4,92,86,30.9,10.0,1.0,19.1,2
D0250,9,26.7,14.4,135,1002.0,0.0,88,45,30.6,10.0,1.0,20.5,2
D0251,9,27.8,19.8,151,1005.0,0.0,82,67,32.3,10.0,1.0,28.4,1
D0252,9,25.9,17.3,116,1005.0,0.0,91,62,29.4,10.0,1.0,25.6,1
D0254,9,27.3,7.9,184,1004.0,0.1,84,80,31.4,10.0,1.0,13.0,3
D0257,9,25.2,14.4,98,1006.0,0.0,93,55,28.3,10.0,1.0,22.5,1
D0259,9,25.9,13.7,144,1007.0,0.85,92,71,29.6,9.0,1.0,22.0,1
D0262,10,20.0,6.8,120,1007.0,0.0,88,0,20.0,10.0,1.0,28.1,1
D0263,10,18.0,15.1,140,1007.0,2.4,100,37,18.0,10.0,1.0,32.8,1
D0264,10,13.0,6.8,200,1012.0,0.0,100,25,12.3,7.0,1.0,18.7,1
D0265,10,10.0,3.6,209,1017.0,0.0,100,0,8.3,10.0,1.0,25.6,1
D0266,10,10.0,6.8,330,1021.0,0.1,94,0,9.0,6.0,1.0,14.8,1
D0267,10,10.0,4.0,310,1023.0,0.0,94,0,10.1,10.0,1.0,8.3,1
D0270,10,10.0,6.8,350,1026.0,0.0,100,0,8.8,10.0,1.0,18.7,1
D0271,10,7.0,4.0,320,1027.0,0.0,100,0,6.8,10.0,1.0,8.3,1
D0272,10,11.0,6.8,20,1020.0,0.0,87,0,9.9,10.0,1.0,19.8,1
D0273,10,11.0,3.6,152,1024.0,0.0,82,0,10.0,10.0,1.0,18.7,1
D0274,10,11.0,3.6,10,1020.0,0.0,94,0,9.9,10.0,1.0,20.5,1
D0275,10,9.0,4.0,70,1017.0,0.0,100,0,7.5,10.0,1.0,20.5,1
D0276,10,15.0,11.2,130,1016.0,0.0,72,0,14.5,10.0,1.0,22.7,1
D0277,10,15.0,3.6,287,1013.0,0.0,100,62,14.3,2.9,4.0,18.0,1
D0280,10,9.0,3.6,10,1026.0,0.0,87,0,7.3,10.0,1.0,22.7,1
D0281,10,9.0,3.6,10,1021.0,0.0,100,50,7.8,4.5,1.0,17.4,1
D0283,10,18.0,11.2,190,1011.0,0.0,64,0,18.0,10.0,1.0,12.9,1
D0284,10,9.0,3.6,212,1016.0,0.0,100,25,7.4,2.9,1.0,21.9,1
D0285,10,14.0,15.1,130,1017.0,0.0,88,0,13.1,10.0,1.0,27.2,1
D0286,10,16.0,19.1,130,1015.0,0.0,77,0,16.0,10.0,1.0,37.2,2
D0287,11,16.0,6.1,240,1013.0,0.0,82,25,16.0,10.0,5.0,9.4,2
D0288,11,12.0,9.0,190,1008.0,0.0,88,75,10.9,10.0,1.0,21.2,1
D0289,11,11.0,13.0,230,1009.0,0.0,94,0,9.5,10.0,1.0,24.5,1
D0290,11,14.0,6.8,140,1011.0,0.9,94,75,13.6,10.0,1.0,14.0,1
D0291,11,16.0,9.0,180,1016.0,0.9,100,0,16.0,10.0,1.0,13.7,1
D0292,11,17.0,3.6,80,1025.0,0.0,94,0,17.0,6.0,1.0,19.1,2
D0293,11,15.0,6.1,90,1027.0,0.0,88,0,14.6,10.0,1.0,20.5,1
D0294,11,16.0,3.6,89,1019.0,0.0,82,0,16.0,10.0,1.0,26.3,1
D0295,11,20.0,4.0,170,1018.0,0.0,78,0,20.0,10.0,1.0,21.2,1
D0296,11,18.0,3.6,130,1019.0,0.0,83,0,18.0,10.0,1.0,20.5,2
D0298,11,20.0,3.6,290,1017.0,0.0,83,0,20.0,8.0,1.0,4.7,2
D0299,11,22.0,6.8,170,1017.0,0.0,83,0,24.6,10.0,1.0,18.0,2
D0300,11,22.0,6.8,140,1014.0,0.0,73,0,24.6,10.0,1.0,21.2,2
D0301,11,19.0,6.1,40,1014.0,0.0,88,0,19.0,10.0,1.0,2.5,1
D0303,11,20.0,6.1,70,1021.0,0.0,60,50,20.0,10.0,6.0,3.6,1
D0304,11,15.0,9.0,130,1020.0,0.0,77,0,14.6,10.0,1.0,21.2,2
D0306,11,19.0,6.1,60,1013.0,2.6,88,75,19.0,10.0,1.0,2.9,2
D0307,11,19.0,4.0,90,1007.0,2.57,94,0,19.0,10.0,1.0,36.9,1
D0308,11,15.0,20.2,230,1009.0,0.0,82,0,13.7,10.0,1.0,30.9,1
D0309,11,18.0,25.9,220,1010.0,0.0,68,75,18.0,10.0,1.0,37.5,1
D0310,11,19.0,24.1,170,1000.0,0.0,68,0,19.0,10.0,1.0,43.3,1
D0311,11,13.0,13.0,210,999.0,0.02,94,25,11.3,10.0,1.0,30.6,1
D0312,11,12.0,16.9,220,1007.0,0.0,88,0,10.2,10.0,1.0,30.4,1
D0313,12,23.0,29.9,140,1004.0,0.0,47,50,24.6,10.0,6.0,19.8,1
D0314,12,16.0,3.6,153,1006.0,3.5,88,25,16.0,10.0,1.0,10.4,1
D0315,12,13.0,3.6,184,1011.0,0.0,100,0,13.0,10.0,1.0,12.2,1
D0316,12,16.0,6.1,120,1020.0,0.0,100,75,16.0,7.0,1.0,6.8,1
D0318,12,14.0,3.6,145,1024.0,0.0,100,0,14.5,10.0,1.0,9.0,1
D0319,12,15.0,3.6,359,1023.0,2.8,100,50,15.1,10.0,1.0,13.7,1
D0320,12,18.0,6.8,350,1021.0,0.1,60,75,18.0,10.0,1.0,22.0,1
D0321,12,15.0,3.6,67,1023.0,0.0,100,75,15.7,10.0,1.0,8.3,1
D0322,12,15.0,4.0,310,1022.0,0.0,100,0,15.3,10.0,1.0,11.2,1
D0323,12,14.0,3.6,96,1022.0,0.0,100,0,14.4,10.0,1.0,9.7,1
D0324,12,14.0,3.6,120,1021.0,0.0,82,0,14.2,10.0,1.0,11.2,1
D0325,12,13.0,6.8,130,1022.0,0.0,100,0,13.0,10.0,1.0,12.2,1
D0326,12,14.0,6.1,120,1021.0,0.0,100,0,14.4,10.0,1.0,9.7,1
D0327,12,14.0,3.6,164,1018.0,0.0,94,0,14.1,10.0,1.0,12.2,1
D0328,12,15.0,4.0,170,1018.0,0.0,77,0,15.2,10.0,1.0,13.0,2
D0329,12,24.0,3.6,5,1019.0,0.0,54,50,25.1,10.0,6.0,5.4,1
D0330,12,15.0,3.6,10,1021.0,0.0,100,50,15.8,10.0,1.0,4.7,1
D0331,12,17.0,3.6,133,1020.0,0.0,100,75,17.0,6.0,1.0,7.6,1
D0332,12,17.0,4.0,280,1021.0,0.0,100,50,17.0,10.0,1.0,8.3,2
D0333,12,16.0,3.6,173,1021.0,0.0,82,0,16.0,10.0,1.0,9.1,2
D0335,12,17.0,3.6,160,1019.0,0.0,88,50,17.0,10.0,1.0,7.6,1
D0336,12,19.0,3.6,169,1018.0,0.0,78,0,19.0,10.0,1.0,13.6,2
D0337,12,19.0,9.0,180,1014.0,0.0,68,25,19.0,10.0,1.0,20.4,2
D0338,12,23.0,15.1,100,1013.0,0.0,57,0,25.1,10.0,1.0,21.2,3
D0339,13,28.0,15.1,100,1008.0,0.1,40,25,27.2,10.0,6.0,5.0,1
D0340,13,17.0,6.8,330,1007.0,0.5,88,75,17.0,10.0,1.0,4.0,1
D0341,13,16.0,3.6,10,1011.0,0.0,77,25,16.0,10.0,1.0,10.4,1
D0342,13,13.0,3.6,10,1019.0,0.0,94,50,13.6,10.0,1.0,2.9,1
D0343,13,19.0,6.1,310,1021.0,0.0,68,75,19.0,10.0,1.0,4.7,1
D0344,13,17.0,3.6,10,1022.0,0.0,72,75,17.0,10.0,1.0,5.4,1
D0347,13,16.0,6.8,260,1022.0,0.1,94,100,16.0,10.0,1.0,18.7,1
D0348,13,19.0,3.6,86,1022.0,0.0,78,100,19.0,10.0,1.0,18.0,1
D0349,13,18.0,11.2,90,1022.0,0.0,68,25,18.0,10.0,1.0,14.0,1
D0350,13,15.0,19.1,100,1021.0,0.0,82,0,15.4,10.0,1.0,10.4,1
